old_code,old_naam,new_code,new_naam,pct_retained,n_new_touched,n_old_mapping_here,change_type
BU05051906,Krabbegors,BU05051906,Krabbegors,100.0,1,1,unchanged
BU05051907,Krabbepolder,BU05051907,Krabbepolder,100.0,1,1,unchanged
BU05051909,Wieldrecht,BU05051909,Wieldrecht,100.0,1,1,unchanged
BU05051910,Dordtse Kil I,BU05051910,Dordtse Kil I,100.0,1,1,unchanged
BU05051911,Amstelwijck-West,BU05051911,Amstelwijck-West,100.0,1,1,unchanged
BU05051912,Schotman terrein,BU05051912,Schotman terrein,100.0,1,1,unchanged
BU05051913,Locatie Refaja,BU05050709,Amstelwijck Midden,50.5,5,1,split
BU05051914,Amstelwijck,BU05051914,Amstelwijck,59.9,5,1,split
BU05051915,Tweede Tol,BU05051915,Tweede Tol,100.0,1,1,unchanged
BU05051916,Dordtse Kil II,BU05051916,Dordtse Kil II,100.0,1,1,unchanged
BU05051917,Dordtse Kil III,BU05051917,Dordtse Kil III,100.0,1,1,unchanged
BU05051918,Oostkil,BU05051918,Oostkil,100.0,1,1,unchanged
BU05051919,Dordtse Kil IV,BU05051919,Dordtse Kil IV,100.0,1,1,unchanged
BU05059800,Merwelanden,BU05059800,Merwelanden,100.0,1,1,unchanged
BU05059801,3e Merwedehaven,BU05059801,3e Merwedehaven,100.0,1,1,unchanged
BU05059804,Dordtse Biesbosch,BU05059804,Dordtse Biesbosch,99.9,2,1,unchanged
BU05059805,Bovenpolder,BU05059805,Bovenpolder,100.0,1,1,unchanged
BU05059997,,BU05059997,Groot binnenwater,98.2,2,1,split
BU05120101,Bovenstad,BU05120101,Bovenstad,100.0,1,1,unchanged
BU05120102,Benedenstad,BU05120102,Benedenstad,100.0,1,1,unchanged
BU05120200,Wijdschild,BU05120200,Wijdschild,100.0,1,1,unchanged
BU05120300,Lingewijk,BU05120300,Lingewijk,100.0,1,1,unchanged
BU05120403,Haarwijk West,BU05120403,Haarwijk West,100.0,1,1,unchanged
BU05120404,Haarwijk Oost,BU05120404,Haarwijk Oost,100.0,1,1,unchanged
BU05120500,Stalkaarsen,BU05120500,Stalkaarsen,100.0,2,1,unchanged
BU05120600,Gildenwijk,BU05120600,Gildenwijk,100.0,1,1,unchanged
BU05120700,Schelluinsestraat,BU05120700,Schelluinsestraat,100.0,1,1,unchanged
BU05120800,Avelingen Oost,BU05120800,Avelingen Oost,100.0,1,1,unchanged
BU05120900,Avelingen West,BU05120900,Avelingen West,100.0,1,1,unchanged
BU05121000,Molenvliet,BU05121000,Molenvliet,100.0,1,1,unchanged
BU05121105,Laag Dalem I,BU05121105,Laag Dalem I,100.0,1,1,unchanged
BU05121106,Laag Dalem II,BU05121106,Laag Dalem II,100.0,1,1,unchanged
BU05121107,Laag Dalem Oost,BU05121107,Laag Dalem Oost,100.0,1,1,unchanged
BU05121108,Laag Dalem Zuid,BU05121108,Laag Dalem Zuid,100.0,2,1,unchanged
BU05121200,Dalem,BU05121200,Dalem,100.0,1,1,unchanged
BU05121300,Hoog Dalem,BU05121300,Hoog Dalem,100.0,1,1,unchanged
BU05121409,Linge,BU05121409,Linge,100.0,1,1,unchanged
BU05121410,Oost I,BU05121410,Oost I,100.0,3,1,unchanged
BU05121411,Oost II,BU05121411,Oost II,100.0,1,1,unchanged
BU05121500,Papland,BU05121500,Papland,100.0,1,1,unchanged
BU05121600,Schotdeuren,BU05121600,Schotdeuren,100.0,1,1,unchanged
BU05121700,Bedrijventerrein Noord,BU05121700,Bedrijventerrein Noord,100.0,1,1,unchanged
BU05121800,Landelijk gebied West,BU05121800,Landelijk gebied West,100.0,1,1,unchanged
BU05121900,Landelijk gebied Noord,BU05121900,Landelijk gebied Noord,100.0,1,1,unchanged
BU05122000,Landelijk gebied Oost,BU05122000,Landelijk gebied Oost,100.0,1,1,unchanged
BU05122100,Landelijk gebied Zuid,BU05122100,Landelijk gebied Zuid,100.0,1,1,unchanged
BU05130100,Nieuwe Markt en omgeving,BU05130100,Nieuwe Markt e.o.,80.4,6,1,split
BU05130101,De Baan en omgeving,BU05130101,De Baan e.o.,96.8,5,1,split
BU05130102,Turfmarkt en omgeving,BU05130102,Turfmarkt e.o.,91.3,5,1,split
BU05130103,Raam en omgeving,BU05130103,Raam e.o.,95.2,7,1,split
BU05130104,Nieuwe Park-Oost,BU05130104,Nieuwe Park Oost,92.2,4,1,split
BU05130105,Nieuwe Park-West,BU05130105,Nieuwe Park West,90.5,4,1,split
BU05130200,De Korte Akkeren-Oud,BU05130200,De Korte Akkeren Oud,84.3,7,1,split
BU05130201,De Korte Akkeren-Nieuw,BU05130201,De Korte Akkeren Nieuw,97.8,4,1,split
BU05130202,Industrieterrein Kromme Gouwe Oost West,BU05130202,Industrieterrein Kromme Gouwe,94.0,7,1,split
BU05130203,Industrieterrein de Hollandsche IJssel,BU05130203,Industrieterrein Hollandsche IJssel,92.0,6,1,split
BU05130204,Weidebloemkwartier,BU05130204,Weidebloemkwartier,91.8,4,1,split
